id,timestamp,b0,b1,b2,b3,b4,b5,b6,b7,b8,b9,b10,b11,b12,b13,b14,b15
1,2026-05-20 15:55:00.845,0D,0,0,0,0,59,0,0,0,1,3,0,0,0,0,EE
2,2026-05-20 15:55:01.054,8,0D,0A,0D,0,0,0,0,59,0,0,0,1,3,0,0
3,2026-05-20 15:55:01.262,0,0,EE,8,0D,0A,0D,0,0,0,0,59,0,0,0,1
4,2026-05-20 15:55:01.477,3,0,0,0,0,EB,8,0D,0A,0D,0,0,0,0,5A,0
5,2026-05-20 15:55:01.680,0,0,1,3,0,0,0,0,EB,8,0D,0A,0D,0,0,0
6,2026-05-20 15:55:01.891,0,5A,0,0,0,1,3,0,0,0,0,EE,8,0D,0A,0D
7,2026-05-20 15:55:01.905,0,0,0,0,5A,0,0,0,1,3,0,0,0,0,EB,8
8,2026-05-20 15:55:02.106,0D,0A,0D,0,0,0,0,5A,0,0,0,1,3,0,0,0
9,2026-05-20 15:55:02.314,0,EB,8,0D,0A,0D,0,0,0,0,5A,0,0,0,1,3
10,2026-05-20 15:55:02.524,0,0,0,0,EE,8,0D,0A,0D,0,0,0,0,5A,0,0
11,2026-05-20 15:55:02.732,0,1,3,0,0,0,0,EE,8,0D,0A,0D,0,0,0,0
12,2026-05-20 15:55:02.941,5A,0,0,0,1,3,0,0,0,0,EE,8,0D,0A,0D,0
13,2026-05-20 15:55:02.950,0,0,0,5A,0,0,0,1,3,0,0,0,0,EE,8,0D
14,2026-05-20 15:55:03.158,0A,0D,0,0,0,0,5A,0,0,0,1,3,0,0,0,0
15,2026-05-20 15:55:03.368,EB,8,0D,0A,0D,0,0,0,0,5A,0,0,0,1,3,0
16,2026-05-20 15:55:03.575,0,0,0,EB,8,0D,0A,0D,0,0,0,0,59,0,0,0
17,2026-05-20 15:55:03.784,1,3,0,0,0,0,EE,8,0D,0A,0D,0,0,0,0,5A
18,2026-05-20 15:55:03.993,0,0,0,1,3,0,0,0,0,EB,8,0D,0A,0D,0,0
